กลุ่มอายุ (ปี),ทุกวัน,อย่างน้อยสัปดาห์ละครั้ง,อย่างน้อยเดือนละครั้ง,อย่างน้อยปีละครั้ง,,,,
6-10 ปี,410046,1175930,52064,1547,,,,
11-14 ปี,732344,2078633,114331,3949,,,,
15 - 19 ปี,1390170,2276968,131686,3004,,,,
20 - 24 ปี,1275618,800874,98464,5253,,,,
25 - 29 ปี,1173984,586957,84948,3718,,,,
30 - 34 ปี,1102383,516689,61440,4657,,,,
35 - 39 ปี,866126,419482,38702,3978,,,,
40 - 49 ปี,1034646,639569,45937,3174,,,,
50 - 59 ปี,558582,389072,34128,2119,,,,
60 ปีขึ้นไป,93675,91988,4814,757,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
