กลุ่มอายุ (ปี),รวม,ทุกวัน,อย่างน้อยสัปดาห์ละครั้ง,อย่างน้อยเดือนละครั้ง,อย่างน้อยปีละครั้ง,,,,,,
6-10 ปี,1531612,429310,1048410,50497,3395,,,,,,
11-14 ปี,2894826,897004,1910483,82773,4566,,,,,,
15 - 19 ปี,3853478,2032808,1734846,75286,10538,,,,,,
20 - 24 ปี,2857694,2130311,667428,56035,3920,,,,,,
25 - 29 ปี,2486751,1869279,562281,52477,2715,,,,,,
30 - 34 ปี,2271810,1712071,499029,58167,2544,,,,,,
35 - 39 ปี,1909587,1358315,501494,47586,2191,,,,,,
40 - 49 ปี,2336079,1543229,679690,104171,8990,,,,,,
50 - 59 ปี,1266751,816959,385910,55103,8779,,,,,,
60 ปีขึ้นไป,320795,151237,127168,36843,5547,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,, 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
