กลุ่มอายุ (ปี),ทุกวัน,อย่างน้อยสัปดาห์ละครั้ง,อย่างน้อยเดือนละครั้ง,ไม่ทราบ,,,,,,
6-10 ปี,609125.03,1005663.97,12114.73,4973,,,,,,
11-14 ปี,1527951.46,1317618.73,16816.8,11579.47,,,,,,
15 - 19 ปี,3496562.17,725696.57,9561.1,16732.66,,,,,,
20 - 24 ปี,3481432.38,478804.64,15926.7,33024.83,,,,,,
25 - 29 ปี,3218591.62,419513.67,10924.75,24215.51,,,,,,
30 - 34 ปี,2967643.19,374709.56,8190.86,27530.71,,,,,,
35 - 39 ปี,2659304.56,387246.83,8573.16,22914.99,,,,,,
40 - 49 ปี,3549397.59,570159.73,15968.41,18951.27,,,,,,
50 - 59 ปี,1789842.2,338695.87,9963.01,8279.49,,,,,,
60 ปีขึ้นไป,497909.7,136580.87,4734.05,1984.45,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
