Level of education,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62414235,19941150,42473085,14773403,47640832,41432901,20981334
None,3192744,176192,3016552,56423,3136321,750559,2442185
Less than elementary,21402665,4260092,17142574,1817805,19584860,9000756,12401910
Elementary,13090626,3283607,9807018,2571855,10518771,9299511,3791114
Lower secondary,9801431,3605713,6195718,3066988,6734443,8377253,1424178
Upper secondary,7341070,2976812,4364258,2351771,4989299,6690049,651021
Diploma level,2075118,1173539,901579,912868,1162250,1976231,98887
Higher level,5352912,4434951,917961,3969536,1383376,5225258,127654
Others,31214,2472,28741,2472,28741,11647,19567
Unknown,126456,27771,98685,23685,102771,101637,24819
