Area,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62859329,21167848,41691481,16632908,46226421,44095238,18764091
None,3356788,233416,3123373,90085,3266704,875918,2480870
Less than elementary,21006207,4607167,16399040,2379920,18626287,9927551,11078657
Elementary,13278258,3398336,9879922,2842161,10436096,10035910,3242347
Lower secondary,9595870,3491078,6104792,3029288,6566582,8419571,1176298
Upper secondary,7674030,3209772,4464258,2624493,5049538,7094492,579538
Diploma level,2078700,1278992,799708,1063495,1015206,2004531,74169
Higher level,5693124,4900735,792389,4565755,1127369,5607959,85165
Others,53343,3474,49870,1602,51742,23103,30240
Unknown,123007,44879,78129,36110,86897,106201,16806
