Activity to use Internet ,Total,Internet using 
Total,16632908,16632908
E-mail,16632908,9254976
Search general Information/goods or services,16632908,7306764
Purchase goods or services,16632908,891036
Business and offering products / services.,16632908,854447
Search for Information about goods / health services,16632908,4356908
Search government Information,16632908,5600121
Contact / transfer Download the document / transaction with the government agency,16632908,2377248
 Trace news / read or download newspaper or magazine (e-book) ,16632908,8201352
Games or download games,16632908,10653786
"Download,movies,listening radio or music ",16632908,10748398
Download Software,16632908,2507102
"Webboard blog, chat / instant message",16632908,4249530
"Social Network(Facebook,Twitter,Hi5 GooglePlus ect.)",16632908,7065119
Education learning activties,16632908,3695549
Voice over Internet protocol (VOIP),16632908,438864
Internet Banking,16632908,429521
