Activity to use Internet ,Total,Internet using ,,,,
Total,21729382,21729382,,,,
E-mail,21729382,10715358,,,,
Search general Information/goods or services,21729382,9596369,,,,  
Purchase goods or services,21729382,1279301,,,,
Business and offering products / services.,21729382,972053,,,,
Search for Information about goods / health services,21729382,5944961,,,,
Search government Information,21729382,6519975,,,,
Contact / transfer Download the document / transaction with the government agency,21729382,3202192,,,,
 Trace news / read or download newspaper or magazine (e-book) ,21729382,11112426,,,, 
Games or download games,21729382,16302568,,,,
"Download,movies,listening radio or music ",21729382,17187498,,,,
Download Software,21729382,4640259,,,,
"Webboard blog, chat / instant message",21729382,5577594,,,,
"Social Network(Facebook,Twitter, GooglePlus,Line,Instagram ect.)",21729382,16048348,,,,
Education learning activties,21729382,4588444,,,,
Voice over Internet protocol (VOIP),21729382,2022915,,,,
Internet Banking,21729382,764690,,,,
