age,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62550157,21842291,40707866,24592299,37957858,49594137,12956020
6 - 10',3989549,2742279,1247270,1530371,2459178,649823,3339726
11 - 14',3470286,3260077,210209,2799050,671236,2004718,1465568
15 - 19,4705185,3729602,975583,4032054,673131,4404362,300823
20 - 24,4929847,2362236,2567611,3369552,1560295,4682170,247677
25 - 29,4758330,2107530,2650800,3074024,1684306,4509293,249037
30 - 34,4916409,1945294,2971115,2738438,2177971,4641263,275146
35 - 39,5332858,1716508,3616350,2304528,3028330,4968218,364640
40 - 49,10942733,2320160,8622573,2863556,8079177,9982950,959783
50 - 59,9246878,1314205,7932673,1477669,7769209,7934373,1312505
60 years and over,10258082,344400,9913682,403057,9855025,5816966,4441116
