Activity to use Internet ,Total,Internet using ,,,
Total,24592299,24592299,,,
E-mail,24592299,10959869,,,
Search general Information/goods or services,24592299,10860084,,,  
Purchase goods or services,24592299,1519005,,,
Business and offering products / services.,24592299,924502,,,
Search for Information about goods / health services,24592299,8604461,,,
Search government Information,24592299,7109787,,,
Contact / transfer Download the document / transaction with the government agency,24592299,3440465,,,
 Trace news / read or download newspaper or magazine (e-book) ,24592299,11572226,,, 
Games or download games,24592299,21482399,,,
"Download,movies,listening radio or music ",24592299,21482399,,,
Download Software,24592299,4659766,,,
"Webboard blog, chat / instant message",24592299,5136902,,,
"Social Network(Facebook,Twitter, GooglePlus,Line,Instagram ect.)",24592299,21785408,,,
Education learning activties,24592299,5047464,,,
Voice over Internet protocol (VOIP),24592299,6358032,,,
Internet Banking,24592299,1245590,,,
